fecha,hora,ticker_us,cedear,bid_ars,offer_ars,spread_ars_pct,prof_bids,prof_offers,qbid1,qoff1,qbid5,qoff5,ars_bid5,ars_off5,bid_d,offer_d,spread_d_pct,px_subyacente_usd,mep_al30,ratio,prima_mep_pct,prima_d_pct
2026-07-20,16:23,NVDA,NVDA,13280,13300,0.15,5,5,,,,,,,8.78,8.8,0.228,202.68,1513.24,24,4.0,4.09
2026-07-20,16:23,META,META,42540,42580,0.094,5,5,,,,,,,28.1,28.19,0.32,649.52,1513.24,24,3.92,4.0
2026-07-20,16:23,GOOGL,GOOGL,9560,9575,0.157,5,5,,,,,,,,,,352.3,1513.24,58,4.09,
2026-07-20,16:23,AMZN,AMZN,2727.5,2735,0.275,5,5,,,,,,,1.8,1.81,0.554,249.36,1513.24,144,4.23,4.23
2026-07-20,16:23,TSLA,TSLA,38880,38940,0.154,5,5,,,,,,,25.66,25.72,0.234,370.46,1513.24,15,4.11,4.02
2026-07-20,16:23,MSTR,MSTR,7645,7660,0.196,5,5,,,,,,,5.04,5.07,0.593,97.74,1513.24,20,3.48,3.44
2026-07-20,16:23,SNOW,SNOW,14360,14390,0.209,5,5,,,,,,,9.46,9.54,0.842,274,1513.24,30,4.01,4.01
2026-07-20,16:23,CRWD,CRWD,4007.5,4025,0.436,5,5,,,,,,,2.64,2.67,1.13,202.56,1513.24,79,3.51,3.55
2026-07-20,16:23,PANW,PANW,11120,11170,0.449,5,5,,,,,,,7.33,7.4,0.95,355.35,1513.24,50,3.63,3.63
2026-07-20,16:23,ADBE,ADBE,8405,8420,0.178,5,5,,,,,,,5.55,5.57,0.36,234.81,1513.24,44,4.17,4.19
2026-07-20,16:23,CRM,CRM,15140,15170,0.198,5,5,,,,,,,9.99,10.04,0.499,173.35,1513.24,18,3.99,3.99
2026-07-20,16:23,MU,MU,270550,270875,0.12,5,5,,,,,,,179,179.25,0.14,866.19,1513.24,5,3.27,3.4
2026-07-20,16:23,INTC,INTC,30600,30660,0.196,5,5,,,,,,,20.19,20.29,0.494,97.74,1513.24,5,3.55,3.54
2026-07-20,16:23,AMAT,AMAT,165425,165725,0.181,5,5,,,,,,,109.5,111.25,1.586,528.08,1513.24,5,3.6,4.51
2026-07-20,16:23,TXN,TXN,89475,89675,0.223,4,5,,,,,,,59,59.6,1.012,286.34,1513.24,5,3.36,3.55
2026-07-20,16:23,TSM,TSM,70150,70200,0.071,5,5,,,,,,,46.4,46.54,0.301,402.49,1513.24,9,3.7,3.91
2026-07-20,16:23,ASML,ASML,18690,18710,0.107,5,5,,,,,,,12.35,12.39,0.323,1733.71,1513.24,146,4.07,4.17
2026-07-20,16:23,MRVL,MRVL,21830,21860,0.137,5,5,,,,,,,14.39,14.52,0.899,195.83,1513.24,14,3.2,3.34
2026-07-20,16:23,QCOM,QCOM,24320,24370,0.205,5,5,,,,,,,16.05,16.13,0.497,171.47,1513.24,11,3.21,3.22
2026-07-20,16:23,COIN,COIN,9275,9305,0.323,5,5,,,,,,,6.12,6.16,0.651,,1513.24,27,,
2026-07-20,16:23,SHOP,SHOP,1834,1838,0.218,5,5,,,,,,,1.21,1.22,0.823,126.15,1513.24,107,2.91,3.06
2026-07-20,16:23,RBLX,RBLX,42320,42420,0.236,5,5,,,,,,,28,28.51,1.805,54.05,1513.24,2,3.61,4.55
2026-07-20,16:23,UBER,UBER,56850,56925,0.132,5,5,,,,,,,37.51,37.7,0.505,72.14,1513.24,2,4.22,4.26
2026-07-20,16:23,HPQ,HPQ,38280,38340,0.157,5,5,,,,,,,25.25,25.45,0.789,24.45,1513.24,1,3.54,3.68
2026-07-20,16:23,BIDU,BIDU,15720,15780,0.381,5,5,,,,,,,10.37,10.45,0.768,109.99,1513.24,11,4.09,4.11
2026-07-20,16:23,SPOT,SPOT,27640,27680,0.145,5,5,,,,,,,18.24,18.32,0.438,493.44,1513.24,28,3.72,3.73
2026-07-20,16:23,AVGO,AVGO,15250,15270,0.131,5,5,,,,,,,10.06,10.11,0.496,378.54,1513.24,39,3.9,3.9
2026-07-20,16:23,ACN,ACN,3005,3025,0.663,5,5,,,,,,,1.98,2.01,1.504,144.27,1513.24,75,3.58,3.71
2026-07-20,16:23,NFLX,NFLX,2217,2220,0.135,5,5,,,,,,,1.46,1.47,0.683,67.5,1513.24,48,4.25,4.18
